,t,Vin(t),"Vout(t,RC1)","Vout(t,RC2)","Vout(t,RC3)"
0,0.0,1.0,0.0,0.0,0.0
1,0.1,1.0,0.09516256786567276,0.632120543627908,0.864664735895088
2,0.2,1.0,0.1812692373015466,0.8646647365005857,0.9816843622331716
3,0.30000000000000004,1.0,0.25918178686184495,0.9502129537230475,0.9975212498821219
4,0.4,1.0,0.329679943372552,0.9816843623152359,0.9996645388749222
5,0.5,1.0,0.39346932937055984,0.993262052565843,0.9999545989048204
6,0.6000000000000001,1.0,0.4511883527489215,0.9975212498937581,0.9999938561636312
7,0.7000000000000001,1.0,0.5034146846312779,0.9990881208299718,0.9999991701472585
8,0.8,1.0,0.5506710217838706,0.9996645388766691,0.9999998869725293
9,0.9,1.0,0.5934303050078904,0.9998765895337072,0.9999999849452124
10,1.0,-1.0,0.6321205242198892,0.999954597867835,0.9999999796350058
11,1.1,-1.0,0.47680379103141646,-0.2642578280308104,-0.7293294549972948
12,1.2000000000000002,-1.0,0.33626733623370386,-0.7293355967553239,-0.963368718106218
13,1.3,-1.0,0.2091046914315276,-0.9004281242024146,-0.9950424939535129
14,1.4000000000000001,-1.0,0.09404317031756404,-0.9633695493026869,-0.9993290761060023
15,1.5,-1.0,-0.010068797333120008,-0.9865244087242925,-0.9999091983500332
16,1.6,-1.0,-0.10427320066126525,-0.995042606443744,-0.9999877114646853
17,1.7000000000000002,-1.0,-0.1895128885123064,-0.9981762770590885,-0.9999983388702944
18,1.8,-1.0,-0.26664093937670474,-0.9993290913299997,-0.9999997725850719
19,1.9000000000000001,-1.0,-0.3364292819477793,-0.9997531873849747,-0.9999999705735487
20,2.0,1.0,-0.39957633585828306,-0.9999091911703015,-0.9999999768548683
21,2.1,1.0,-0.26638903809601794,0.26427450314802237,0.7293294553523821
22,2.2,1.0,-0.14587618761975737,0.7293417310580496,0.9633687181552494
23,2.3000000000000003,1.0,-0.03683165559381142,0.9004303821248877,0.9950424939601737
24,2.4000000000000004,1.0,0.06183592246637476,0.9633703814111122,0.999329076106201
25,2.5,1.0,0.15111404394992659,0.986524714815732,0.9999091983463304
26,2.6,1.0,0.2318962257203917,0.9950427182776805,0.9999877114625697
27,2.7,1.0,0.30499096512379786,0.9981763206927317,0.9999983388728165
28,2.8000000000000003,1.0,0.37112982039878295,0.9993291072123519,0.9999997725847081
29,2.9000000000000004,1.0,0.43097473125932095,0.9997531927487899,0.999999970573541
30,3.0,-1.0,0.48512463133531164,0.9999092008844853,0.9999999956682083
31,3.1,-1.0,0.3437964391420094,-0.264274523733601,-0.7293294288742621
32,3.2,-1.0,0.21591730226355327,-0.7293417167490239,-0.9633687149421447
33,3.3000000000000003,-1.0,0.10020747123382244,-0.9004303772962521,-0.9950424935218255
34,3.4000000000000004,-1.0,-0.004491115624106867,-0.9633703781442122,-0.9993290760796639
35,3.5,-1.0,-0.09922631251058174,-0.986524713609862,-0.9999091985220525
36,3.6,-1.0,-0.18494626343470505,-0.9950427185990918,-0.9999877115458671
37,3.7,-1.0,-0.26250888238373116,-0.9981763193340689,-0.9999983387135927
38,3.8000000000000003,-1.0,-0.3326904424385482,-0.9993291065290832,-0.9999997726370293
39,3.9000000000000004,-1.0,-0.396193346390657,-0.9997531935137419,-0.9999999705720463
40,4.0,1.0,-0.4536531421416316,-0.999909192973728,-0.9999999924477363
41,4.1000000000000005,1.0,-0.3153197558616768,0.2642745285645039,0.7293294301676361
42,4.2,1.0,-0.19015053384281944,0.7293417189204295,0.9633687153204462
43,4.3,1.0,-0.07689273681347554,0.9004303779732254,0.9950424935644648
44,4.4,1.0,0.025587160294652418,0.9633703784281492,0.9993290761288336
45,4.5,1.0,0.11831480446906734,0.9865247137194162,0.9999091986690151
46,4.6000000000000005,1.0,0.20221824525258628,0.9950427186409152,0.9999877116809268
47,4.7,1.0,0.2781372179615049,0.9981763192402507,0.9999983381897162
48,4.800000000000001,1.0,0.3468315450415669,0.9993291065829047,0.9999997728638075
49,4.9,1.0,0.40898874338781344,0.9997531935340379,0.9999999705446242
50,5.0,-1.0,0.4652308886872843,0.99990919809037,0.9999999956120204
51,5.1000000000000005,-1.0,0.3257957341577815,-0.26427452783455824,-0.7293294288450041
52,5.2,-1.0,0.1996295891609488,-0.7293417346040194,-0.9633687150076817
53,5.300000000000001,-1.0,0.08546974373025026,-0.9004303830347529,-0.9950424935290547
54,5.4,-1.0,-0.017826358167081523,-0.9633703800257902,-0.9993290761043658
55,5.5,-1.0,-0.11129254370797856,-0.9865247142846033,-0.9999091985995966
56,5.6000000000000005,-1.0,-0.1958642432918329,-0.9950427188517112,-0.9999877115883269
57,5.7,-1.0,-0.27238787914639984,-0.9981763195908764,-0.9999983385825649
58,5.800000000000001,-1.0,-0.3416293283662058,-0.9993291067043871,-0.9999997726936389
59,5.9,-1.0,-0.4042815822558389,-0.999753192559684,-0.9999999705689432
60,6.0,1.0,-0.46097167350875556,-0.9999091713212085,-0.9999999678537316
61,6.1000000000000005,1.0,-0.3219418368851762,0.26427454016773083,0.7293294555561223
62,6.2,1.0,-0.19614244110207985,0.7293417470512101,0.9633687183127767
63,6.300000000000001,1.0,-0.08231443735133356,0.9004303855056838,0.9950424939820417
64,6.4,1.0,0.020681403131254644,0.9633703812024658,0.9993290760896147
65,6.5,1.0,0.11387589090598205,0.9865247147416705,0.99990919827517
66,6.6000000000000005,1.0,0.1982017501845152,0.9950427190163482,0.999987711406546
67,6.7,1.0,0.2745029428828433,0.9981763195140966,0.9999983389427329
